BrandID,BrandName,CategoryName,ProductID,ProductName,ProductDescription,ProductSize,Currancy,OriginalPrice,SellPrice,Discount
1,4711,Fragrance-Women,FR001,Cologne Fragrance,ekw eau de cologne 400 ml,Small,Rs.,3900,3120,20% off
2,109f,Westernwear-Women,DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,"Size:Medium,Small,X-Large,XX-Large",Rs.,1897,569,70% off
2,109f,Westernwear-Women,DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large",Rs.,1498,599,60% off
2,109f,Westernwear-Women,DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,"Size:Medium,Small",Rs.,1598,639,60% off
2,109f,Westernwear-Women,DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,"Size:Large,Medium,Small,X-Large",Rs.,1198,479,60% off
2,109f,Westernwear-Women,DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,"Size:Large,Medium,Small,X-Small",Rs.,1198,479,60% off
2,109f,Westernwear-Women,DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,"Size:Small,X-Large",Rs.,1298,519,60% off
2,109f,Westernwear-Women,DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,"Size:Large,Medium,Small",Rs.,1498,599,60% off
2,109f,Westernwear-Women,DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,Size:Medium,Rs.,1798,719,60% off
2,109f,Westernwear-Women,DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,998,399,60% off
2,109f,Westernwear-Women,DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1298,519,60% off
2,109f,Westernwear-Women,DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,2498,999,60% off
2,109f,Westernwear-Women,DRW12,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,"Size:X-Large,XX-Large",Rs.,3498,1399,60% off
2,109f,Westernwear-Women,DRW13,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,"Size:Small,X-Small",Rs.,1797,539,70% off
2,109f,Westernwear-Women,DRW14,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1998,799,60% off
